timestamp,message
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215763,""format"":""epc"",""idHex"":""e28011700000020d2a41119b"",""peakRssi"":-58,""phase"":50.077213287353516,""reads"":1},""timestamp"":""2026-03-28T08:12:46.555+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215764,""format"":""epc"",""idHex"":""e28011700000020d2a410083"",""peakRssi"":-64,""phase"":90.85420989990234,""reads"":1},""timestamp"":""2026-03-28T08:12:46.565+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215765,""format"":""epc"",""idHex"":""e28011700000020d2a40d16a"",""peakRssi"":-55,""phase"":133.02102661132813,""reads"":1},""timestamp"":""2026-03-28T08:12:46.565+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215766,""format"":""epc"",""idHex"":""e28011700000020d2a40c06b"",""peakRssi"":-63,""phase"":160.26795959472656,""reads"":1},""timestamp"":""2026-03-28T08:12:46.566+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215767,""format"":""epc"",""idHex"":""e28011700000020d2a40d1eb"",""peakRssi"":-70,""phase"":-62.711875915527344,""reads"":1},""timestamp"":""2026-03-28T08:12:46.575+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215768,""format"":""epc"",""idHex"":""e28011700000020d2a40f182"",""peakRssi"":-61,""phase"":43.44126892089844,""reads"":1},""timestamp"":""2026-03-28T08:12:46.576+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215769,""format"":""epc"",""idHex"":""e28011700000020d2a40f0f1"",""peakRssi"":-70,""phase"":74.60493469238281,""reads"":1},""timestamp"":""2026-03-28T08:12:46.586+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215770,""format"":""epc"",""idHex"":""111122223333444455556666"",""peakRssi"":-68,""phase"":-48.736839294433594,""reads"":1},""timestamp"":""2026-03-28T08:12:46.586+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215771,""format"":""epc"",""idHex"":""e28011700000020d2a40e0da"",""peakRssi"":-66,""phase"":-66.59565734863281,""reads"":1},""timestamp"":""2026-03-28T08:12:46.586+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215772,""format"":""epc"",""idHex"":""e28011700000020d2a40d16d"",""peakRssi"":-60,""phase"":115.65111541748047,""reads"":1},""timestamp"":""2026-03-28T08:12:46.596+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215773,""format"":""epc"",""idHex"":""e28011700000020d2a40e08b"",""peakRssi"":-58,""phase"":-42.57881546020508,""reads"":1},""timestamp"":""2026-03-28T08:12:46.596+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215774,""format"":""epc"",""idHex"":""e28011700000020d2a41215a"",""peakRssi"":-65,""phase"":-123.3417739868164,""reads"":1},""timestamp"":""2026-03-28T08:12:46.606+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215775,""format"":""epc"",""idHex"":""e28011700000020d2a410975"",""peakRssi"":-59,""phase"":160.41078186035156,""reads"":1},""timestamp"":""2026-03-28T08:12:46.606+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":1,""channel"":866.3,""eventNum"":215776,""format"":""epc"",""idHex"":""e28011700000020d2a40d074"",""peakRssi"":-67,""phase"":-19.600208282470703,""reads"":1},""timestamp"":""2026-03-28T08:12:46.606+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":2,""channel"":866.3,""eventNum"":215777,""format"":""epc"",""idHex"":""ad721205443f65b560000032"",""peakRssi"":-52,""phase"":-88.30530548095703,""reads"":1},""timestamp"":""2026-03-28T08:12:46.646+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":2,""channel"":866.3,""eventNum"":215778,""format"":""epc"",""idHex"":""e28011c1a5000062f794a5cc"",""peakRssi"":-61,""phase"":-29.504684448242188,""reads"":1},""timestamp"":""2026-03-28T08:12:46.667+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":2,""channel"":866.3,""eventNum"":215779,""format"":""epc"",""idHex"":""e28011c1a5000062f794a52c"",""peakRssi"":-64,""phase"":-110.11932373046875,""reads"":1},""timestamp"":""2026-03-28T08:12:46.677+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":2,""channel"":866.3,""eventNum"":215780,""format"":""epc"",""idHex"":""ad721205143595bb5e00007d"",""peakRssi"":-61,""phase"":-4.251838684082031,""reads"":1},""timestamp"":""2026-03-28T08:12:46.687+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":2,""channel"":866.3,""eventNum"":215781,""format"":""epc"",""idHex"":""e2806890000000003f47b2f8"",""peakRssi"":-56,""phase"":100.49501037597656,""reads"":1},""timestamp"":""2026-03-28T08:12:46.697+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":2,""channel"":866.3,""eventNum"":215782,""format"":""epc"",""idHex"":""e28068900000000016ca96cd"",""peakRssi"":-70,""phase"":73.02285766601563,""reads"":1},""timestamp"":""2026-03-28T08:12:46.707+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":2,""channel"":866.3,""eventNum"":215783,""format"":""epc"",""idHex"":""ad7212054443d9b86000009e"",""peakRssi"":-60,""phase"":16.782129287719727,""reads"":1},""timestamp"":""2026-03-28T08:12:46.718+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.223994,"{""data"":{""antenna"":2,""channel"":866.3,""eventNum"":215784,""format"":""epc"",""idHex"":""e2806890000000003f46ed93"",""peakRssi"":-61,""phase"":91.60130310058594,""reads"":1},""timestamp"":""2026-03-28T08:12:46.718+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.423130,"{""data"":{""antenna"":2,""channel"":866.3,""eventNum"":215785,""format"":""epc"",""idHex"":""e2806890000000003f46eda3"",""peakRssi"":-62,""phase"":121.38615417480469,""reads"":1},""timestamp"":""2026-03-28T08:12:46.728+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.423436,"{""data"":{""antenna"":2,""channel"":866.3,""eventNum"":215786,""format"":""epc"",""idHex"":""e28011c1a5000062f79551dc"",""peakRssi"":-67,""phase"":94.00189208984375,""reads"":1},""timestamp"":""2026-03-28T08:12:46.728+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.423436,"{""data"":{""antenna"":2,""channel"":866.3,""eventNum"":215787,""format"":""epc"",""idHex"":""ad7212054443d1b76100009d"",""peakRssi"":-59,""phase"":-13.414715766906738,""reads"":1},""timestamp"":""2026-03-28T08:12:46.738+0000"",""type"":""CUSTOM""}"
2026-03-28T13:42:46.423436,"{""data"":{""antenna"":2,""channel"":866.3,""eventNum"":215788,""format"":""epc"",""idHex"":""ad721206438ad5b0857e000c"",""peakRssi"":-61,""phase"":164.49781799316406,""reads"":1},""timestamp"":""2026-03-28T08:12:46.738+0000"",""type"":""CUSTOM""}"
