antenna,channel,eventNum,format,idHex,peakRssi,phase,reads,timestamp,type,timestampConverted
4,865.7,1650,epc,e28011b0a5050077ab398299,-56,-7.476424217224121,1,2026-03-31T10:01:00.089000+00:00,CUSTOM,1774951260089
4,865.7,1651,epc,e28011b0a5050077ab397ab9,-61,-18.572954177856445,1,2026-03-31T10:01:00.099000+00:00,CUSTOM,1774951260099
4,865.7,1652,epc,e28069950000500f97d4de51,-59,20.731834411621094,1,2026-03-31T10:01:00.109000+00:00,CUSTOM,1774951260109
1,865.7,1653,epc,e28069950000500f97d29250,-60,-106.12567138671875,1,2026-03-31T10:01:00.120000+00:00,CUSTOM,1774951260120
1,865.7,1654,epc,e28069950000500f97d80e53,-62,79.89501953125,1,2026-03-31T10:01:00.181000+00:00,CUSTOM,1774951260181
1,865.7,1655,epc,e28069950000500f97d83a51,-61,82.12530517578125,1,2026-03-31T10:01:00.192000+00:00,CUSTOM,1774951260192
1,865.7,1656,epc,e28011c1a5000062f793cd5c,-67,-76.29688262939453,1,2026-03-31T10:01:00.192000+00:00,CUSTOM,1774951260192
1,865.7,1657,epc,e28069950000500f97d85e44,-58,-126.11590576171875,1,2026-03-31T10:01:00.201000+00:00,CUSTOM,1774951260201
1,865.7,1658,epc,e28069950000400f97d42253,-64,170.4306182861328,1,2026-03-31T10:01:00.212000+00:00,CUSTOM,1774951260212
1,865.7,1659,epc,e28011b0a5050077ab397ac9,-47,117.27713775634766,1,2026-03-31T10:01:00.222000+00:00,CUSTOM,1774951260222
1,865.7,1660,epc,e28069950000500f97d30e51,-60,163.75071716308594,1,2026-03-31T10:01:00.222000+00:00,CUSTOM,1774951260222
1,865.7,1661,epc,e28069950000400f97d83e52,-61,-113.15164947509766,1,2026-03-31T10:01:00.232000+00:00,CUSTOM,1774951260232
1,865.7,1662,epc,e28069950000400f97d69250,-60,-60.84414291381836,1,2026-03-31T10:01:00.242000+00:00,CUSTOM,1774951260242
1,865.7,1663,epc,e28011b0a5050077ab398229,-48,-45.259559631347656,1,2026-03-31T10:01:00.262000+00:00,CUSTOM,1774951260262
2,865.7,1664,epc,e28011c1a5000062f794a53c,-65,113.99761962890625,1,2026-03-31T10:01:00.273000+00:00,CUSTOM,1774951260273
2,865.7,1665,epc,e28011c1a5000062f794a52c,-67,-90.67842864990234,1,2026-03-31T10:01:00.283000+00:00,CUSTOM,1774951260283
2,865.7,1666,epc,e28069950000400f97d6b644,-73,66.65608978271484,1,2026-03-31T10:01:00.283000+00:00,CUSTOM,1774951260283
2,865.7,1667,epc,e28011b0a5050077ab39c776,-65,20.86367416381836,1,2026-03-31T10:01:00.293000+00:00,CUSTOM,1774951260293
2,865.7,1668,epc,e2801191a5030069565f31c0,-63,176.64906311035156,1,2026-03-31T10:01:00.303000+00:00,CUSTOM,1774951260303
2,865.7,1669,epc,e2801191a5030069565f76e0,-72,12.140262603759766,1,2026-03-31T10:01:00.313000+00:00,CUSTOM,1774951260313
2,865.7,1670,epc,303800000666e10000000055,-57,79.61485290527344,1,2026-03-31T10:01:00.324000+00:00,CUSTOM,1774951260324
2,865.7,1671,epc,303800000222a00000000015,-59,121.61686706542969,1,2026-03-31T10:01:00.324000+00:00,CUSTOM,1774951260324
2,865.7,1672,epc,e28011b0a5050077ab3981d9,-73,49.32462692260742,1,2026-03-31T10:01:00.334000+00:00,CUSTOM,1774951260334
2,865.7,1673,epc,ad721205147be5bc5f000020,-72,64.063232421875,1,2026-03-31T10:01:00.344000+00:00,CUSTOM,1774951260344
2,865.7,1674,epc,e28011b0a5050077ab391306,-71,55.48814392089844,1,2026-03-31T10:01:00.344000+00:00,CUSTOM,1774951260344
2,865.7,1675,epc,e28011b0a5050077ab3981b9,-71,98.39656066894531,1,2026-03-31T10:01:00.354000+00:00,CUSTOM,1774951260354
2,865.7,1676,epc,e28069950000500f97d29e55,-71,-104.7853012084961,1,2026-03-31T10:01:00.354000+00:00,CUSTOM,1774951260354
2,865.7,1677,epc,303800000666a0000000001a,-65,-100.7806625366211,1,2026-03-31T10:01:00.365000+00:00,CUSTOM,1774951260365
