antenna,channel,eventNum,format,idHex,peakRssi,phase,reads,timestamp,type,timestampConverted
3,866.9,2029,epc,e28011b0a5050077ab3982f9,-37,142.07403564453125,1,2026-03-31T10:02:59.985000+00:00,CUSTOM,1774951379985
3,866.9,2030,epc,e28011b0a5050077ab39cec9,-44,-174.5231475830078,1,2026-03-31T10:02:59.995000+00:00,CUSTOM,1774951379995
3,866.9,2031,epc,e28011b0a5050077ab397ab9,-30,46.85811996459961,1,2026-03-31T10:02:59.995000+00:00,CUSTOM,1774951379995
1,866.9,2032,epc,e28069950000400f97d5aa52,-62,109.77324676513672,1,2026-03-31T10:03:00.077000+00:00,CUSTOM,1774951380077
1,866.9,2033,epc,e28069950000500f97d30e51,-59,7.674184322357178,1,2026-03-31T10:03:00.087000+00:00,CUSTOM,1774951380087
1,866.9,2034,epc,e28069950000500f97d50a44,-66,124.55580139160156,1,2026-03-31T10:03:00.097000+00:00,CUSTOM,1774951380097
1,866.9,2035,epc,e28069950000500f97d87e43,-64,-46.967987060546875,1,2026-03-31T10:03:00.098000+00:00,CUSTOM,1774951380098
1,866.9,2036,epc,e28069950000400f97d6b251,-59,55.16403579711914,1,2026-03-31T10:03:00.108000+00:00,CUSTOM,1774951380108
1,866.9,2037,epc,303800000222a00000000023,-60,-167.29942321777344,1,2026-03-31T10:03:00.128000+00:00,CUSTOM,1774951380128
1,866.9,2038,epc,e28069950000500f97d2ca51,-57,-73.95123291015625,1,2026-03-31T10:03:00.128000+00:00,CUSTOM,1774951380128
1,866.9,2039,epc,e28069950000400f97d29251,-63,107.2902603149414,1,2026-03-31T10:03:00.138000+00:00,CUSTOM,1774951380138
1,866.9,2040,epc,e28069950000400f97d2c650,-66,136.53675842285156,1,2026-03-31T10:03:00.139000+00:00,CUSTOM,1774951380139
1,866.9,2041,epc,e28069950000500f97d1de52,-59,124.24268341064453,1,2026-03-31T10:03:00.148000+00:00,CUSTOM,1774951380148
1,866.9,2042,epc,e28069950000500f97d76651,-57,-11.442609786987305,1,2026-03-31T10:03:00.179000+00:00,CUSTOM,1774951380179
